fCnt,rssi,dr,freq
1107,-79,5,916000000
1108,-80,5,915200000
1109,-77,5,915600000
1110,-84,5,916400000
1111,-79,5,915800000
1112,-85,5,915400000
1113,-76,5,915200000
1114,-82,5,916000000
1115,-76,5,916200000
1116,-82,5,916400000
1117,-83,5,915800000
1118,-86,5,915600000
1119,-81,5,915400000
1120,-82,5,916400000
1121,-94,5,916200000
1122,-84,5,915200000
1123,-78,5,915800000
1124,-77,5,915400000
1125,-84,5,915600000
1126,-86,5,916000000
1127,-88,5,916000000
1128,-79,5,915800000
1129,-85,5,915600000
1130,-83,5,915400000
1131,-90,5,916200000
1133,Sem resposta,5,916400000
1134,-91,5,915400000
1135,-81,5,916200000
1136,-92,5,915800000
1137,-91,5,915200000
1138,-94,5,916400000
1139,-105,5,916000000
1140,-94,5,915600000
1141,-94,5,915200000
1142,-88,5,916200000
1143,-101,5,916400000
1144,-91,5,916000000
1145,-95,5,915600000
1146,-102,5,915800000
1147,-90,5,915400000
1148,-96,5,915200000
1149,-102,5,915600000
1150,-100,5,915400000
1151,-97,5,916400000
1152,-97,5,916200000
1153,-92,5,915800000
1154,-95,5,916000000
1155,-83,5,915800000
1156,-90,5,915400000
1157,-82,5,916400000
1158,-83,5,916000000
1159,-81,5,915600000
1160,-83,5,916200000
1161,-80,5,915200000
1162,-91,5,916200000
1163,-88,5,916000000
1164,-80,5,915200000
1165,-90,5,915400000
1166,-88,5,916400000
1167,-93,5,915600000
1168,-80,5,915800000
1169,-91,5,916400000
1170,-101,5,915800000
1171,-90,5,916200000
1172,Sem resposta,5,916000000
1173,-88,5,915200000
1174,-87,5,915400000
1175,-86,5,915600000
1176,-94,5,916000000
1177,-84,5,916200000
1178,-85,5,916400000
1179,-92,5,915800000
1180,-80,5,915400000
1181,-85,5,915600000
1182,-82,5,915200000
1183,-88,5,916400000
1184,-95,5,915200000
1185,-83,5,916200000
1186,-81,5,915800000
1187,-80,5,916000000
1188,-85,5,915400000
1189,-81,5,915600000
1190,-81,5,915600000
1191,-79,5,915400000
1192,-77,5,916200000
1193,-75,5,915800000
1194,-82,5,915200000
1195,-87,5,916400000
1196,-79,5,916000000
1197,-79,5,916400000
1198,-83,5,916000000
1199,-79,5,915600000
1200,-83,5,915200000
1201,-79,5,916200000
1202,-95,5,915400000
1203,-88,5,915800000
1204,-82,5,915200000
1205,-80,5,915400000
1206,-83,5,916400000
1207,-85,5,916000000
1208,-96,5,916200000
1209,-92,5,915800000
1210,-84,5,915600000
1211,-84,5,915800000
1212,-83,5,915600000
1213,Sem resposta,5,916000000
1214,-86,5,915400000
1215,-90,5,916200000
1216,-86,5,916400000
1217,-86,5,915200000
1218,-100,5,915600000
1219,-87,5,916400000
1220,-93,5,915200000
1221,-94,5,915400000
1222,-82,5,915800000
1223,-83,5,916200000
1225,Sem resposta,5,915200000
1227,Sem resposta,5,916000000
1228,Sem resposta,5,915400000
1229,-82,5,916400000
1230,-85,5,915800000
1231,-84,5,916200000
1232,-85,5,916200000
1233,-85,5,916000000
1234,-84,5,915400000
1235,-85,5,915800000
1236,-85,5,915600000
1237,Sem resposta,5,915200000
1238,-87,5,916400000
1239,-86,5,916000000
1240,-86,5,915800000
1241,-82,5,915400000
1242,-82,5,916200000
